venue_id,Name,City,State,Street,Zip,Area,Category_1,Category_2,Category_3,Category_4,Category_5
35,Alamo Drafthouse Mason,Katy, Texas,531 South Mason Rd,77450,,Bar,,,,
36,Alamo Lakeline,Austin, Texas,14028 US 183,78717,,Bar,Bar,,,Eatery
37,Albertson's,Azle, Texas,480 Northwest Pkwy,76020,,,,Store,,
38,Alfredo's Mexican Restaurant,Fort Stockton, Texas,2103 W Dickinson Blvd,79735,,Bar,,,, Eatery
39,Alpine Haus Restaurant,New Braunfels, Texas,251 S Seguin Ave,78130,,Bar,,,, Eatery
40,Altdorf Biergarten,Fredericksburg, Texas,301 W Main St,78624,,Bar,,,, Eatery
41,Altstadt Brewery,Fredericksburg, Texas,6120 E US Hwy 290,78624,,,Brewery,,,
42,Angel's Beverage Center,Plano, Texas,2540 East  Pkwy,75074,,,,Store,,
43,Angry Dog,Dallas, Texas,2726 Commerce St,75226,Deep Ellum,Bar,,,, Eatery
44,Antebellum Ale House,Weatherford, Texas,321 E Oak St,76086,,Bar,,,, Eatery
45,Antiques Art & Beer,Shiner, Texas,720 N Ave E,77984,,Bar,, Store,,
46,Anvil Bar & Refuge,Houston, Texas,1424 Westheimer Rd Ste B,77006,,Bar,,,, Eatery
47,Anvil Pub,Dallas, Texas,2638 Elm St,75226,Deep Ellum,Bar,,,,
48,AquaBrew,San Marcos, Texas,150 S LBJ Dr,78666,, Bar,Brewery,,, Eatery
49,Arlington Bottle Shop,Arlington, Texas,3000 Meadowbrook,76013,,,,Store,,
50,Armadillo Ale Works,Denton, Texas,221 S Bell Ave,76202,,,Brewery,,,
51,Artic Liquor,Lewisville, Texas,4695 Highway 121 Ste 104,75056,,,,Store,,
52,Ashford Pub,Houston, Texas,13308 Westheimer Rd,77077,,Bar,,Ashford Pub,,
53,Audacity Brewhouse,Denton, Texas,1012 Shady Oaks Dr,76205,, Bar,Brewery,,, Eatery
54,The Auslander Restaurant and Biergarten,Fredericksburg, Texas,323 E Main St,78624,,Bar,,,, Eatery
55,Austin Ale House,Austin, Texas,301 W 6th St,78701,,Bar,,,, Eatery
56,Austin Beer Garden Brewing Co.,Austin, Texas,1305 W Oltorf St,78704,, Bar,Brewery,,, Eatery
57,Austin Beerworks,Austin, Texas,3009 Industrial Terrace  Ste 150,78758,, Bar,Brewery,,,
58,Austin Homebrew Supply,Austin, Texas,9129 Metric Blvd,78758,,,,Store,,
59,Axelrad Beer Garden,Houston, Texas,1517 Alabama St,77004,,Bar,,,,
60,B & J Pizza,Corpus Christi, Texas,6335 S. Padre Island Dr,78412,,Bar,,,, Eatery
61,B & J's Pizza,Corpus Christi, Texas,6662 S Staples St,78414,, Bar,Brewery,,, Eatery
62,B&S Brewers Guild,Seabrook, Texas,3560 NASA Pkwy,77586,,,,,Homebrew Store,
63,B-52 Brewing Co.,Conroe, Texas,12470 Milroy Ln,77304,, Bar,Brewery,,,
64,B. B. Rover's Cafe & Pub,Austin, Texas,12636 Research Blvd Ste B101,78759,,Bar,,,, Eatery
65,Baa Baa Brewhouse,Brookshire, Texas,539 FM-359,77423,,Bar,Brewery,,,
66,Back Pew Brewing Company,Porter, Texas,26452 Sorters-McLellan Rd,77365,,,Brewery,,,
67,Backcountry Brewery,Rowlett, Texas,3313 Enterprise Dr,75088,, Bar,Brewery,,,
68,Backyard Grill,Houston, Texas,9453 Jones Rd,77065,,Bar,,,, Eatery
69,Backyard Home Brewers and Education Center,Humble, Texas,802 E 1st St Ste 200,77338,,,,,Homebrew Store,
70,Baker St Pub & Grill,Cypress, Texas,25618 Highway 290,77429,,Bar,,,, Eatery
71,Baker Street Pub & Grill,Austin, Texas,3003 S Lamar Blvd,78704,,Bar,,,, Eatery
72,Bakfish Brewing,Pearland, Texas,1231 Broadway St,77581,, Bar,Brewery,,,
73,Banger's Sausage House & Beer Garden,Austin, Texas,79 Rainey St,78701,,Bar,,,, Eatery
74,Bankhead Brewing Co,Rowlett, Texas,3840 Main St,75088,, Bar,Brewery,,, Eatery
75,Bar America,San Antonio, Texas,723 S. Alamo St,78205,,Bar,,,,
76,Bar D Brewhouse,San Saba, Texas,213 N High St,76877,, Bar,Brewery,,, Eatery
77,Barcadia Dallas,Dallas, Texas,1917 N Henderson Ave,75206,Lower Greenville,Bar,,,, Eatery
78,Bare Arms Brewing,Waco, Texas,2515 La Salle Ave,76706,, Bar,Brewery,,,
79,Barley House,Dallas, Texas,5612 SMU Blvd,75206,Lower Greenville,Bar,,,, Eatery
80,Barley Swine,Austin, Texas,2024 S Lamar Blvd,78704,,Bar,,,, Eatery
81,Barley-Hoppers Drafthouse,Abilene, Texas,721 S 1st St,79602,,Bar,,,,
82,Barrow Brewing Company,Salado, Texas,108 Royal StSalado,76571,, Bar,Brewery,,,
83,Bash Riprock's,Lubbock, Texas,2419 Main St,79401,,Bar,,,, Eatery
84,Bavarian Grill,Plano, Texas,221 W Parker Rd,75023,,Bar,,,, Eatery
85,Bayview Duck,Bacliff, Texas,3131 Highway 146,77518,,Bar,,,, Eatery
86,Bearded Fox Brewing,Tomball, Texas,11729 Spring  Rd,77377,, Bar,Brewery,,,
87,Beaver's,Houston, Texas,2310 Decatur St,77007,,Bar,,,, Eatery
88,Beer & Wine World,Mansfield, Texas,26 E Debbie Ln Ste 102,76063,,,,Store,,
89,Beer Market Co,Houston, Texas,920 Studemont St,77007,,Bar,,,, Eatery
90,Beerfoot Beach Bar,Galveston, Texas,2816 Avenue R,77550,, Bar,Brewery,,,
91,Beers Looking At You,Webster, Texas,17074 Highway 3,77598,,,,Store,,
92,Bernadine's,Houston, Texas,1801 N Shepherd Dr Ste B,77008,,Bar,,,, Eatery
93,Big Bend Brewing Co.,Alpine, Texas,3401 W Highway 90,79830,,,Brewery,,,
94,Big Hops - Broadway,San Antonio, Texas,8313 Broadway St,78209,,Bar,,,,
95,Big Hops - Huebner,San Antonio, Texas,11224 Huebner Rd Ste 204,78230,,Bar,,,,
96,Big Hops - The Bridge,San Antonio, Texas,306 Austin St,78215,,Bar,,,,
97,Big Texan Brewery,Amarillo, Texas,7701 I-40 E,79118,, Bar,Brewery,,, Eatery
98,Big Thicket Brewery,Lufkin, Texas,113 W Shepherd AveRd,75904,, Bar,Brewery,,,
99,Billy's on Burnet,Austin, Texas,2105 Hancock Dr,78756,,Bar,,,, Eatery
100,Bird Caf_,Fort Worth, Texas,155 E 4th St,76102,,Bar,,,, Eatery
101,Bitter Sisters Brewing Company,Addison, Texas,15103 Surveyor Blvd,75001,, Bar,Brewery,,,
102,BJ's Brewery & Tasting Room,Temple, Texas,602 E Central Ave,76501,, Bar,Brewery,,,
103,BJ's Restaurant,McAllen, Texas,3200 E Expressway 83Palms Crossing Shopping Center,78501,,,, Store,, Eatery
104,BJ's Restaurant,Temple, Texas,3550 S. General Bruce Dr,76504,,Bar,,,, Eatery
105,BJ's Restaurant,San Antonio, Texas,22406 US Highway 281 North Village of Stone Oak,78258,,Bar,,,, Eatery
106,BJ's Restaurant,Addison, Texas,4901 Belt Line Rd,75254,,Bar,,,, Eatery
107,BJ's Restaurant,Austin, Texas,5207 Brodie Lane #300,78745,,Bar,,,, Eatery
108,BJ's Restaurant,Pearland, Texas,11200 Broadway,77584,,Bar,,,, Eatery
109,BJ's Restaurant & Brewery,Sugar Land, Texas,2231 State Highway 6,77478,,Bar,,,, Eatery
110,BJ's Restaurant & Brewery,Lewisville, Texas,2609 S Stemmons Fwy,75067,,Bar,,,, Eatery
111,BJ's Restaurant & Brewery,Clear Lake, Texas,515 W Bay Area Blvd,77598,,Bar,,,, Eatery
112,BJ's Restaurant & Brewhouse,Fort Worth, Texas,4720 S Hulen St,76132,,Bar,,,, Eatery
113,BJ's Restaurant & Brewhouse,Waco, Texas,5929 W  Dr,76710,,Bar,,,, Eatery
114,BJ's Restaurant & Brewhouse,Houston, Texas,7637 FM 1960 Rd W,77070,, Bar,Brewery,,, Eatery
115,BJ's Restaurant & Brewhouse,Arlington, Texas,201 E Interstate 20,76018,, Bar,Brewery,,, Eatery
116,BJ's Restaurant & Brewhouse,Allen, Texas,190 E Stacy Rd Ste 3300,75002,,Bar,,,, Eatery
117,BJ's Restaurant & Brewhouse,Plano, Texas,1101 N Central Expy,75075,,Bar,,,, Eatery
118,BJ's Restaurant & Brewhouse,New Braunfels, Texas,2951 Cold Spring Dr,78130,,Bar,,,, Eatery
119,BJ's Restaurant & Brewhouse,Lubbock, Texas,4805 S Loop 289,79424,, Bar,Brewery,,, Eatery
120,BJ's Restaurant & Brewhouse,Hurst, Texas,952 NE Loop 820,76053,,Bar,,,, Eatery
121,BJ's Restaurant & Brewhouse,College Station, Texas,1520 Harvey Rd,77840,,Bar,,,, Eatery
122,BJ's Restaurant And Brewhouse,El Paso, Texas,11905 Gateway Blvd,79936,,Bar,,,, Eatery
123,BJ's Restaurant And Brewhouse,Mesquite, Texas,1106 Town East Mall,75150,,Bar,,,,
124,Black Sheep Lodge,Austin, Texas,2108 S Lamar Blvd,78704,,Bar,,,, Eatery
125,Black Star Co-op Pub & Brewery,Austin, Texas,7020 Easy Wind Dr,78752,, Bar,Brewery,,, Eatery
126,Black Whale Pub,New Braunfels, Texas,367 Main Plaza,78130,,Bar,,,,
127,Blackfriar Pub,Dallas, Texas,2621 Mckinney Ave,75204,Uptown,Bar,,,, Eatery
128,Blackwater Draw Brewing Co.,College Station, Texas,303 Boyett St,77840,, Bar,Brewery,,, Eatery
129,Blackwater Draw Brewing Company,Bryan, Texas,701 N Main St,77803,, Bar,Brewery,,,
130,Block Table & Tap,El Paso, Texas,4172 N Mesa St,79902,,Bar,,,, Eatery
131,Blu Crab Seafood House & Bar,Fort Worth, Texas,6115 Camp Bowie Blvd #104,76116,,Bar,,,, Eatery
132,Blue Danube,Pantego, Texas,2230-A W Park Row Dr,76013,,Bar,,,, Eatery
133,Blue Owl Brewing,Austin, Texas,2400 East Cesar Chavez St #300,78702,, Bar,Brewery,,,
134,Blue Star Brewing Company,San Antonio, Texas,1414 S. Alamo #105,78210,, Bar,Brewery,,, Eatery
135,Bluebonnet Beer Company,Round Rock, Texas,1700 Bryant Dr Ste 107,78664,, Bar,Brewery,,,
136,Boerne Brewery,Boerne, Texas,9 Hill View Lane,78006,,,Brewery,,,
137,Boneshakers,San Antonio, Texas,306 Austin St,78215,,Bar,,,, Eatery
138,Boo-Ray's of New Orleans,Fort Worth, Texas,7255 Boat Club Rd,76179,,Bar,,,, Eatery
139,Boomerjack's Grill And Bar,Arlington, Texas,522 Linclon Sq,76011,,Bar,,,, Eatery
140,Boondoggles Pub,El Lago, Texas,4106 NASA Pkwy,77586,,Bar,,,, Eatery
141,Bootlegger's,San Antonio, Texas,8055 West Ave Ste 103,78213,,,,Store,,
142,Bovine & Barley,Houston, Texas,416 Main St,77002,,Bar,,,, Eatery
143,Braindead Brewing,Dallas, Texas,2625 Main St,75226,Deep Ellum, Bar,Brewery,,, Eatery
144,Branchline Brewing Co.,San Antonio, Texas,3633 Metro Pkwy,78247,,,Brewery,,,
145,Brash Brewing Company,Houston, Texas,512 Crosstimbers,77022,, Bar,Brewery,,,
146,Brasil Caf\'e9,Houston, Texas,2604 Dunlavy St,77006,,Bar,,,, Eatery
147,Brazos Valley Brewing Company,Brenham, Texas,201 W First St,77833,, Bar,Brewery,,,
148,Bread Basket,Kyle, Texas,5671 FM 2770Kyle,78640,,,,Store,,
149,Bread Basket,Austin, Texas,8801 West Gate Blvd,78745,,,,Store,,
150,Brew It Yourself,Spring, Texas,25770 Interstate 45 Ste 107,77386,,,,,Homebrew Store,
151,Brew Sports Pub East,El Paso, Texas,1441 N Zaragoza Rd,79936,,Bar,,,, Eatery
152,Brew Sports Pub West,El Paso, Texas,8041 N Mesa St,79932,,Bar,,,, Eatery
153,Brewed,Fort Worth, Texas,801 W Magnolia Ave,76104,,Bar,,,, Eatery
154,Brews Brothers,Galveston, Texas,2404 Strand St,77550,, Bar,Brewery,,,
155,Brick House Tavern + Tap,Fort Worth, Texas,6300 North Fwy,76137,,Bar,,,, Eatery
156,Brick House Tavern + Tap,Houston, Texas,12910 Highway 290,77040,,Bar,,,, Eatery
157,Brick House Tavern + Tap,San Antonio, Texas,1011 N Loop 1604 E,78232,,Bar,,,, Eatery
158,Brick House Tavern And Tap,Plano, Texas,4900 W Park Ave,75093,,Bar,,,, Eatery
159,Brick Oven Pizza Company,Abilene, Texas,4714 S 14th St,79605,,Bar,,,, Eatery
160,Brigadoon Brewery & Brew School,Plantersville, Texas,21778 FM 1774 Booth 150,77363,, Bar,Brewery,, Homebrew Store,
161,BRIX Wine Cellars,Houston, Texas,110 Vintage Park Blvd Ste T,77070,,Bar,,,, Eatery
162,Broadway Beer & Wine,Garland, Texas,5335 Broadway Blvd Ste 210,75043,,,,Store,,
163,Brookshire's,Azle, Texas,511 N Stewart St,76020,,,,Store,,
164,Zoigl Brewery,College Station, Texas,211C W William J Bryan Pkwy,77803,,Bar,Brewery,,,
165,BS Brewing,Seguin, Texas,1408 Old Lehmann Rd,78155,,Bar,Brewery,,,
166,BT's Grill,The Woodlands, Texas,399 Sawdust Rd,77380,,Bar,,,, Eatery
167,Buck Easy's,Big Spring, Texas,1700 S Gregg St,79720,,,,Store,,
168,Buckeye Liquor,Dallas, Texas,7610 Greenville,75231,Lake Highlands,,,Store,,
169,Buckeye Liquor,Lake Dallas, Texas,104 N. Stemmons,75065,,,,Store,,
170,Buddy's Beer Barn,El Paso, Texas,10150 Montana,79925,,,,Store,,
171,Budweiser Tasting Room,Houston, Texas,775 Gellhorn Dr,77029,,Bar,,,,
172,Buffalo Bayou Brewing Co,Houston, Texas,5301 Nolda St,77007,, Bar,Brewery,,,
173,Buffalo Wild Wings,Webster, Texas,528 W Bay Area Blvd Ste 400,77598,, Eatery,Bar,,, Eatery
174,Bull Creek Brewing,Liberty Hill, Texas,7100 FM 3405,78642,, Bar,Brewery,,,
175,Burleson Yard Beer Garden,San Antonio, Texas,430 Austin St,78209,,Bar,,,,
176,Bushwackers Wine Safari,Denton, Texas,221 W Oak St,76201,,,,Store,,
177,Busted Sandal Brewing Company,San Antonio, Texas,7114 Oaklawn Dr,78229,, Bar,Brewery,,,
178,Buy Low Liquor,Commerce, Texas,1407 Chestnut St ,75428,,,,Store,,
179,Cactus Land Brewing Co.,Adkins, Texas,368 County Rd 325,78101,, Bar,Brewery,,,
180,Canyon Golf Market,San Antonio, Texas,26180 Canyon Golf Rd,78260,,,,Store,,
181,Capitol Pub,Dallas, Texas,2401 N Henderson,75206,Lower Greenville,Bar,,,,
182,Carney's Pub & Grill,Bryan, Texas,3410 S College Ave,77801,,Bar,,,, Eatery
183,Carolina Ale House,Killeen, Texas,3214 E Central Texas Expy,76543,,Bar,,,, Eatery
184,Carry On Convenience Store,San Antonio, Texas,11311 Huebner Rd,78230,,,,Store,,
185,Castle Spirits,Lewisville, Texas,2540 King Arthur Blvd Ste 150,75056,,,,Store,,
186,Caves Lounge,Arlington, Texas,900 W Division St,76012,,Bar,,,, Eatery
187,Cedar Creek Brewery,Kemp, Texas,244 E Cedar Creek Pkwy,75143,,,Brewery,,,
188,Cedar Creek Caf_ Bar and Grill,Houston, Texas,1034 W 20th St,77008,,Bar,,,, Eatery
189,Celebration Liquor,Marfa, Texas,1309 W San Antonio St PO Box 1269,79831,,,,Store,,
190,Celebration Liquors,Alpine, Texas,704 W Holland Ave,79830,,,,Store,,
191,Cellarman's American Pub,Sherman, Texas,2130 Texoma Pkwy,75090,,Bar,,,, Eatery
192,Central Market,Plano, Texas,320 Coit Rd,75075,,,,Store,,
193,Central Market,Southlake, Texas,1425 E Southlake Blvd,76092,,,,Store,,
194,Central Market,San Antonio, Texas,4821 Broadway St,78209,,,,Store,,
195,Central Market,Fort Worth, Texas,4651 West Fwy,76107,,,,Store,,
196,Central Market,Houston, Texas,3815 Westheimer Rd,77027,,,,Store,,
197,Central Market - Lovers,Dallas, Texas,5750 E Lovers Ln,75206,Lower Greenville,,,Store,,
198,Central Market - North Lamar,Austin, Texas,4001 N Lamar Blvd,78756,,,,Store,,
199,Central Market - Westgate,Austin, Texas,4477 S Lamar Blvd,78745,,,,Store,,
200,Cherrywood Coffeehouse,Austin, Texas,1400 E 38th 1/2 St,78722,,Bar,,,, Eatery
201,Chester's Hamburger Co.,Universal City, Texas,621 Pat Booker Rd,78148,,Bar,,,, Eatery
202,Chimera Brewing,Fort Worth, Texas,1001 W Magnolia Ave,76104,, Bar,Brewery,,, Eatery
203,Choice Beverage,Mckinney, Texas,4600 Eldorado Pkwy Ste 700,75070,,,,Store,,
204,Chop House Burger,Euless, Texas,2720 State Highway 121 Ste 600,76039,,Bar,,,, Eatery
205,Chop House Burger,Dallas, Texas,1501 Main St,75201,Uptown,Bar,,,, Eatery
206,Chug's Liquor Store,Shamrock, Texas,108 E 12th St,79079,,,,Store,,
207,Churchill's British Restaurant & Pub,McKinney, Texas,100 N Tennessee St,75069,,Bar,,,, Eatery
208,Cibolo Creek Brewing Company,Boerne, Texas,448 S Main St,78006,, Bar,Brewery,,, Eatery
209,Cigar Frog's,Midland, Texas,216 N Main St,79701,,Bar,,,,
210,Circle Brewing Company,Austin, Texas,2340 W Braker Ln,78758,, Bar,Brewery,,,
211,City Acre Brewing,Houston, Texas,3418 Topping St,77093,, Bar,Brewery,,, Eatery
212,Class Six,Fort Bliss, Texas,BLDG 1610 Haan RdFort Bliss,79916,,,,Store,,
213,Clementine Coffee Bar,Austin, Texas,2200 Manor Rd,78722,,Bar,,,, Eatery
214,Cobra Brewing Company,Lewisville, Texas,146 Whatley Ave,75057,, Bar,Brewery,,,
215,Cold Beer Company,Dallas, Texas,3600 Main St,75226,Deep Ellum,Bar,,,, Eatery
216,College Street Restaurant and Pub,Waxahachie, Texas,210 N College StWaxahachie,75165,,Bar,,,, Eatery
217,Common Ground Beer & Wine Bar,El Paso, Texas,12102 Montwood Dr Ste H,79936,,Bar,,,,
218,Community Beer Company,Dallas, Texas,1530 Inspiration Dr Ste 200,75207,Design District, Bar,Brewery,,,
219,Conservatory Underground Beer Garden & Food Hall,Houston, Texas,1010 Prairie St,77002,,Bar,,,, Eatery
220,Continental Liquors,Nacogdoches, Texas,2819 North St,75965,,,,Store,,
221,Cook Hall,Dallas, Texas,2440 Victory Park Lane,75219,Victory Park,Bar,,,, Eatery
222,Copperhead Brewery,Conroe, Texas,822 N Frazier St,77301,, Bar,Brewery,,,
223,Cork Grinders,Baytown, Texas,206 W Texas Ave,77520,,Bar,,,, Eatery
224,Corner Food Mart Shell,Friendswood, Texas,3640 FM 528,77546,,,,Store,,
225,Corner Street Pub,Greenville, Texas,2702 Lee St,75401,,Bar,,,, Eatery
226,Cost Plus World Market,Arlington, Texas,239 Curtis Mathes Way,76018,,,,Store,,
227,Cost Plus World Market,Fort Worth, Texas,4701 West Fwy,76107,,,,Store,,
228,Cost Plus World Market,Grapevine, Texas,1317 W State Highway 114 Ste 100,76051,,,,Store,,
229,Cost Plus World Market,College Station, Texas,1450 Texas Ave South,77842,,,,Store,,
230,Cost Plus World Market,Watauga, Texas,7616 Denton Highway,76148,,,,Store,,
231,Cost Plus World Market,The Woodlands, Texas,1620 Lake Woodlands Dr,77380,,,,Store,,
232,Cost Plus World Market,San Antonio, Texas,17414 La Cantera Pkwy #126,78254,,,,Store,,
233,Cottonwood,Houston, Texas,3422 N Shepherd Dr,77018,,Bar,,,, Eatery
234,Craft & Social,El Paso, Texas,305 E Franklin Ave,79901,,Bar,,,, Eatery
235,Craft and Crab Seafood House,Colleyville, Texas,5120 TX-121,76034,,Bar,,,, Eatery
236,Craft and Growler,Dallas, Texas,3601 Parry Ave,75226,Deep Ellum,Bar,,,,
237,Craft Beer Cellar,Houston, Texas,907 Franklin St,77002,,Bar,, Store,,
238,Craft Grill,Tomball, Texas,25219 Kuykendahl Rd #G110,77375,,Bar,,,, Eatery
239,Craft Pride,Austin, Texas,61 Rainey St,78701,,Bar,,,, Eatery
240,Crave Kitchen,El Paso, Texas,11990 Rojas Dr,79936,,Bar,,,, Eatery
241,Crave Kitchen,El Paso, Texas,300 Cincinati Ave,79902,,Bar,,,, Eatery
242,Crestview MiniMax IGA,Austin, Texas,7108 Woodrow Ave,78757,,,,Store,,
243,Cricket's Grill,Waco, Texas,221 Mary Ave,76701,,Bar,,,, Eatery
244,Crickets Grill & Draft House,Lubbock, Texas,2412 Broadway,79401,,Bar,,,, Eatery
245,CRISP,Houston, Texas,2220 Bevis St,77008,,Bar,,,, Eatery
246,Crown & Anchor Pub,Austin, Texas,2911 San Jacinto Blvd,78705,,Bar,,,, Eatery
247,Crush,Amarillo, Texas,701 S Polk St,79101,,Bar,,,, Eatery
248,Cullum's Attagirl Ice House,San Antonio, Texas,726 E Mistletoe Ave,78212,,Bar,,,, Eatery
249,Culpepper Steakhouse,Rockwall, Texas,309 E Interstate 30,75087,,Bar,,,, Eatery
250,Cuvee Coffee,Austin, Texas,2000 E 6th St,78702,,Bar,,,,
251,CVS #213,Austin, Texas,5526 S Congress Ave,78745,,,,Store,,
252,Cycler's Brewing,Montgomery, Texas,Not open to the public,77356,,,Brewery,,,
253,D & Q The Beer Station,Houston, Texas,806 Richmond Ave,77006,,,,Store,,
254,D&T Drive Inn,Houston, Texas,1307 Enid St,77009,,Bar,,,, Eatery
255,Dai Due,Austin, Texas,2406 Manor Rd,78722,,Bar,,,, Eatery
256,Daily Grill,Austin, Texas,11506 Century Oaks Ter,78758,,Bar,,,, Eatery
257,Dallas Beer Kitchen,Dallas, Texas,1802 Greenville Ave,75206,Lower Greenville,Bar,,,, Eatery
258,Dallas Home Brew,Carrollton, Texas,1500 N Interstate 35 E Ste 116,75006,,,,,Homebrew Store,
259,Dancing Bear Pub,Waco, Texas,1117 Speight Ave,76706,,Bar,,,, Eatery
260,Deacon Baldy's Bar & Food Truck Park,Magnolia, Texas,5447 FM 1488,77354,,Bar,,,, Eatery
261,DeadBeach Brewery,El Paso, Texas,406 S Durango St,79901,, Bar,Brewery,,,
262,Deep Ellum Brewing Company,Dallas, Texas,2821 St Louis St,75226,Deep Ellum, Bar,Brewery,,,
263,Defalco's,Houston, Texas,9223 Stella Link Rd,77025,,,,,Homebrew Store,
264,Dicorte's Emporium,Waco, Texas,715 New Dallas HWY,76705,,,,Store,,
265,Dish Society,Katy, Texas,23501 Cinco Ranch Blvd,77494,,Bar,,,, Eatery
266,Division Brewing Company,Arlington, Texas,506 E Main St,76010,, Bar,Brewery,,,
267,Doc's Backyard,Austin, Texas,5207 Brodie Ln Ste 100,78745,, Bar,,,, Eatery
268,Doc's Beer Depot,Lubbock, Texas,1011 Highway 87,79423,,,,Store,,
269,Doc's Liquor,San Antonio, Texas,8806 Bandera Rd Ste 106,78250,,,,Store,,
270,Doc's Liquors,Lubbock, Texas,7021 Quaker Ave,79424,,,,Store,,
271,Double Dave's Pizzaworks,San Antonio, Texas,19186 Blanco Rd,78250,,Bar,, Store,, Eatery
272,Double Horn Brewing Company,Marble Falls, Texas,208 Avenue H ,78654,, Bar,Brewery,,, Eatery
273,Down House,Houston, Texas,1801 Yale St,77008,,Bar,,,, Eatery
274,Dr. Jeckyll's Beer Lab,Arlington, Texas,2420 W Park Row Dr,76013,,,,,Homebrew Store,
275,Draft Pick,Austin, Texas,1620 E Riverside Dr Ste 1618,78741,,Bar,,,, Eatery
276,Draught House Pub & Brewery,Austin, Texas,4112 Medical Pkwy,78741,, Bar,Brewery,,, Eatery
277,Drink Of Ages Pub,Houston, Texas,1005 Waugh Dr,77019,,Bar,, Store,,
278,Drunken Donkey,Lewisville, Texas,301 W Round Grove Rd Ste 109,75067,,Bar,,,, Eatery
279,Drunken Donkey,The Colony, Texas,4897 State Highway 121 Ste 308,75056,,Bar,,,, Eatery
280,Drunken Donkey,Denton, Texas,3350 Unicorn Lake Blvd,76210,,Bar,,,, Eatery
281,E. Braker Ln Food Mart,Austin, Texas,1005 E. Braker Ln Ste 3,78753,,,,Store,,
282,East 1st Grocery,Austin, Texas,1811 E Cesar Chavez St,78702,,,,Store,,
283,Easy Tiger Bake Shop & Beer Garden,Austin, Texas,709 E 6th St,78701,,Bar,,,, Eatery
